fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,340,MATERIAL AND SUPPLIES,2500,2500,2500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,162,REPAIR/MAINT EQUIPMENT,4290,4290,4022
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,130,POSTAGE,6930,6930,6230
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,189,TELEPHONE NON-CENTREX,7000,7000,7000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,350,STATIONERY AND OFFICE SUPPL,10500,10500,8300
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,197,TELEPHONE-MAINTENANCE,14200,14200,14200
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,140,PROF & TECHNICAL SERVICES,123852,123852,23852
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,181,MOBILE COMM SERVICES,17510,17510,30620
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,190,TELEPHONE-CENTREX,48000,48000,54100
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,931,TORT/NON-TORT JUDGMENT,540000,540000,540000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,5,SALARIES AND WAGES - ON PAYROLL,998924,998924,1023329
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-82310,-82310,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,15,SCHEDULE SALARY ADJ,2872,2872,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,270,LOCAL TRANSPORTATION,100,100,100
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,440,MACHINERY AND EQUIPMENT,1000,1000,100
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,229,TRAN/EXP ALLOWANCE,500,500,500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,319,CLOTHING,600,600,600
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,20,OVERTIME,1000,1000,1000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,197,TELEPHONE-MAINTENANCE,2000,2000,1700
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,140,PROF & TECHNICAL SERVICES,7500,7500,2500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,340,MATERIAL AND SUPPLIES,4000,4000,3000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,130,POSTAGE,6000,6000,3000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,15,SCHEDULE SALARY ADJ,2403,2403,6704
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,162,REPAIR/MAINT EQUIPMENT,8212,8212,7000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,350,STATIONERY AND OFFICE SUPPL,11164,11164,8000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,190,TELEPHONE-CENTREX,12000,12000,9287
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,12,CONTRACT WAGE-PR,19335,19335,19595
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,159,LEASE PURCHASE AGREEMNT,27878,27878,25928
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,5,SALARIES AND WAGES - ON PAYROLL,7022133,7022133,6625838
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,2006 - ADMINISTRATIVE SERV DIVISION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-160159,-160159,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,229,TRAN/EXP ALLOWANCE,122850,122850,500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,189,TELEPHONE NON-CENTREX,650,650,600
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,126,OFFICE CONVENIENCES,3800,3800,870
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,245,REIMBURSEMENT TRAVELERS,1000,1000,1000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,160,REPAIR/MAINT PROPERTY,2694,2694,1000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,130,POSTAGE,5280,5280,3437
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,150,PUBLICATN & REPRODT-OUT,7741,7741,8400
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,162,REPAIR/MAINT EQUIPMENT,29820,29820,12360
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,197,TELEPHONE-MAINTENANCE,14400,14400,14400
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,350,STATIONERY AND OFFICE SUPPL,68151,68151,20650
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,313,CLEANING AND SAN SUPPLY,24675,24675,24675
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,196,DATA CIRCUITS,29000,29000,28000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,340,MATERIAL AND SUPPLIES,62715,62715,50375
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,157,RENTAL EQUIPMENT AND SERVICES,85240,85240,64380
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,190,TELEPHONE-CENTREX,80000,80000,69400
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,319,CLOTHING,94500,94500,70052
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,401,TOOL <= $100 UNIT,65200,65200,70137
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,159,LEASE PURCHASE AGREEMNT,17280,17280,91200
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,15,SCHEDULE SALARY ADJ,103991,103991,101139
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,181,MOBILE COMM SERVICES,164520,164520,181630
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,188,VEHICLE TRACKING SERVICE,389610,389610,257460
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,12,CONTRACT WAGE-PR,626328,626328,504144
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,20,OVERTIME,1455953,1455953,1655953
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,140,PROF & TECHNICAL SERVICES,107200,107200,4496200
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,185,WASTE DISPOSAL SERV,42294993,42294993,41259993
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,5,SALARIES AND WAGES - ON PAYROLL,90775803,90775803,86398187
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-4593886,-4593886,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,2020 - BUREAU OF SANITATION,38,WORK STUDY/CO-OP ED,15000,15000,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,313,CLEANING AND SAN SUPPLY,282,282,275
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,197,TELEPHONE-MAINTENANCE,1200,1200,1200
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,319,CLOTHING,3916,3916,1925
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,15,SCHEDULE SALARY ADJ,4624,4624,2325
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,401,TOOL <= $100 UNIT,4000,4000,3000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,350,STATIONERY AND OFFICE SUPPL,3923,3923,3800
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,162,REPAIR/MAINT EQUIPMENT,5182,5182,4403
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,159,LEASE PURCHASE AGREEMNT,4455,4455,4455
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,20,OVERTIME,5500,5500,5500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,190,TELEPHONE-CENTREX,31000,31000,31000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,181,MOBILE COMM SERVICES,31740,31740,31740
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,12,CONTRACT WAGE-PR,47395,47395,40864
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,340,MATERIAL AND SUPPLIES,97956,97956,88336
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,5,SALARIES AND WAGES - ON PAYROLL,6456975,6456975,5240573
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-248714,-248714,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,169,TECHNICAL MEETING COSTS,500,500,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2025,2025 - BUREAU OF RODENT CONTROL,157,RENTAL EQUIPMENT AND SERVICES,10700,10700,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,197,TELEPHONE-MAINTENANCE,300,300,300
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,313,CLEANING AND SAN SUPPLY,376,376,325
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,166,DUES  SUBSC & MEM,1800,1800,500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,229,TRAN/EXP ALLOWANCE,9000,9000,500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,169,TECHNICAL MEETING COSTS,1600,1600,1250
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,15,SCHEDULE SALARY ADJ,8962,8962,1512
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,360,REPAIR PARTS AND MATERIAL,2500,2500,2500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,401,TOOL <= $100 UNIT,7500,7500,6100
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,350,STATIONERY AND OFFICE SUPPL,4850,4850,6500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,13062,13062,10000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,423,COMMUNICATION DEVICES,11000,11000,11000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,319,CLOTHING,26064,26064,15000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,20,OVERTIME,42500,42500,42500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,340,MATERIAL AND SUPPLIES,96148,96148,75000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,12,CONTRACT WAGE-PR,166150,166150,81573
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,341,CHEMICALS,236560,236560,124000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,140,PROF & TECHNICAL SERVICES,200470,200470,600000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,1418804,1418804,955382
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,22483748,22483748,14402885
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-961421,-961421,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,2045 - BUREAU OF STREET OPERATIONS,362,PAINT/PAINTING SUPPLIES,295125,295125,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,440,MACHINERY AND EQUIPMENT,850,850,150
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,130,POSTAGE,264,264,176
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,245,REIMBURSEMENT TRAVELERS,2183,2183,250
LOCAL,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,2035,2035 - METER SERVICES,331,ELECTRICITY,0,0,1500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,363,STRUCTURE STEEL IRON OT,558,558,308
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,160,REPAIR/MAINT PROPERTY,1018,1018,518
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,345,APPARATUS AND INSTRUMENTS,757,757,657
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,362,PAINT/PAINTING SUPPLIES,1552,1552,952
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,126,OFFICE CONVENIENCES,2370,2370,1422
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,15,SCHEDULE SALARY ADJ,2177,2177,1579
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,361,BUILDING MATERIAL SUPPL,2823,2823,1823
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,313,CLEANING AND SAN SUPPLY,2813,2813,2813
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,154,RENTAL-DATA HARDWARE EQ,2823,2823,2823
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,197,TELEPHONE-MAINTENANCE,3300,3300,3300
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,159,LEASE PURCHASE AGREEMNT,3576,3576,3576
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,423,COMMUNICATION DEVICES,5039,5039,5039
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,162,REPAIR/MAINT EQUIPMENT,6350,6350,6000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,319,CLOTHING,9900,9900,6900
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,350,STATIONERY AND OFFICE SUPPL,10000,10000,8000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,190,TELEPHONE-CENTREX,15000,15000,12400
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,340,MATERIAL AND SUPPLIES,31427,31427,24867
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,229,TRAN/EXP ALLOWANCE,42000,42000,32000
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,360,REPAIR PARTS AND MATERIAL,39874,39874,35534
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,181,MOBILE COMM SERVICES,90310,90310,35920
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,188,VEHICLE TRACKING SERVICE,57150,57150,57150
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,12,CONTRACT WAGE-PR,72064,72064,58636
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,20,OVERTIME,299938,299938,99938
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,157,RENTAL EQUIPMENT AND SERVICES,363084,363084,299496
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,140,PROF & TECHNICAL SERVICES,456335,456335,359550
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,5,SALARIES AND WAGES - ON PAYROLL,12003364,12003364,11083551
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,2060 - BUREAU OF FORESTRY,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-680187,-680187,0
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,270,LOCAL TRANSPORTATION,11204,11204,200
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,178,FREIGHT/EXPENSE CHARGES,500,500,250
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,150,PUBLICATN & REPRODT-OUT,964,964,450
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,196,DATA CIRCUITS,717,717,717
LOCAL,200,WATER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,172,INSURANCE PREMIUMS,900000,900000,900000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,191,TELEPHONE-RELOCATIONS,1400,1400,1400
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,169,TECHNICAL MEETING COSTS,2558,2558,1500
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,245,REIMBURSEMENT TRAVELERS,3201,3201,1600
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,130,POSTAGE,2639,2639,2000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,340,MATERIAL AND SUPPLIES,3516,3516,3000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,160,REPAIR/MAINT PROPERTY,6000,6000,3000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,15,SCHEDULE SALARY ADJ,8828,8828,4156
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,350,STATIONERY AND OFFICE SUPPL,5718,5718,5000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,166,DUES  SUBSC & MEM,9489,9489,5000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,162,REPAIR/MAINT EQUIPMENT,13665,13665,10000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,197,TELEPHONE-MAINTENANCE,10400,10400,11500
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,157,RENTAL EQUIPMENT AND SERVICES,65629,65629,13000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,190,TELEPHONE-CENTREX,22000,22000,19000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,181,MOBILE COMM SERVICES,24035,24035,57420
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,140,PROF & TECHNICAL SERVICES,404939,404939,200000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,5,SALARIES AND WAGES - ON PAYROLL,2736985,2736985,1269958
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,931,TORT/NON-TORT JUDGMENT,1890000,1890000,1890000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-154316,-154316,0
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,171,MISC SUPPLIES,500,500,250
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,178,FREIGHT/EXPENSE CHARGES,600,600,300
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,270,LOCAL TRANSPORTATION,611,611,500
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,245,REIMBURSEMENT TRAVELERS,1464,1464,800
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,191,TELEPHONE-RELOCATIONS,1000,1000,1000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,152,ADVERTISING,1359,1359,1000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,150,PUBLICATN & REPRODT-OUT,1760,1760,1000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,154,RENTAL-DATA HARDWARE EQ,1820,1820,1000
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,12,CONTRACT WAGE-PR,1447,1447,1058
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,169,TECHNICAL MEETING COSTS,4574,4574,2000
